"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 5:23:56 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.023154,0.002744202,0.001978454,0.03264913,0.02436566,0.1749117,0.006774739,0.002809857,0.04279632,0.003491791,0.01536881,0.002376916,0.0006864122,0.008818516,0.01715809,0.002339604,0.0008490176,0.03960337,0.001739851,0.02981018,9.837142E-05,0.04353095,0.000153794,0.03011527,0.07208578,0.003121067,0.003140962,0.0001020071,0.0008209588,3.895846E-05,0.00102848,0.000371228,0.0003271032,0.03506066,0.0003555953,0.002877891,0.001176062,1.103283E-05,4.099311E-05,0.001897216,0.0603378,0.0141687,0.04885459,0.003968842,0.01531122,0.00161615,0.02041305,0.01022447,9.058664,0.0001305861,0.02052033,0.1667805,1.645452,0.1520644,0.0007716311,0.0003558136,0.01863367,0.1487242,0.3693597,0.101981,0.03198856,0.05163895,0.05338611,0.02562802,0.0002372577,2.265193,0.0104988,0.005629769,0.04663443,0.09831805,23.22885,1.915269,6.936735,6.595618,8.06102,3.4011,5.06004,16.41264
2,0.02317451,0.002730731,0.001974368,0.03272342,0.0244037,0.1749724,0.006791325,0.002815768,0.0429089,0.003472039,0.01534403,0.00238592,0.0006881326,0.008904167,0.01724234,0.002347876,0.0008504337,0.03959874,0.001739844,0.02902567,0.000101692,0.04361309,0.0001551279,0.03045882,0.07220002,0.002912463,0.003098848,0.0001015634,0.00079797,3.91682E-05,0.001028573,0.0003655887,0.000327711,0.03279494,0.0003659407,0.002913566,0.001150524,1.091469E-05,4.08809E-05,0.001893176,0.06070417,0.01512437,0.04891927,0.003981215,0.01528114,0.001618658,0.0206362,0.01030057,9.202366,0.0001307113,0.02051827,0.166301,1.634186,0.1516052,0.0007657298,0.0003635188,0.01876422,0.1301063,0.3424228,0.09367611,0.0288406,0.04843744,0.05508562,0.02588296,0.0002374076,2.320188,0.00830821,0.004812716,0.04638119,0.09811291,22.61581,1.856436,5.323261,5.752521,7.181047,4.435886,4.666682,13.19541
3,0.02319261,0.00271735,0.001969588,0.03280663,0.02444201,0.1749499,0.006806017,0.002820376,0.04301247,0.003452963,0.01531288,0.002392994,0.0006897495,0.008990142,0.01731794,0.002355562,0.0008517823,0.04087414,0.001737854,0.02928943,0.0001043592,0.0436797,0.000153952,0.03109828,0.07226959,0.002986646,0.003081736,0.0001027035,0.0007986524,3.910851E-05,0.001027558,0.0003656767,0.0003284685,0.03253498,0.0003739463,0.002903648,0.001148324,1.075771E-05,4.123344E-05,0.001897056,0.06124421,0.01598864,0.04897958,0.00399262,0.0152472,0.001622778,0.02059054,0.01044684,9.324171,0.0001307794,0.02050535,0.1652067,1.612307,0.1511801,0.0007594312,0.0003701682,0.01857628,0.118149,0.3133695,0.08407558,0.02623158,0.04513964,0.05814356,0.02628409,0.0002387158,2.267914,0.006839339,0.00430217,0.04497493,0.09663251,21.54734,1.795154,4.03982,4.957219,7.792911,5.83509,5.692673,11.98371
4,0.02320589,0.002703932,0.001964155,0.03288392,0.02447807,0.1748132,0.006818456,0.002823984,0.04310369,0.00343416,0.01526617,0.002397723,0.0006912399,0.009076579,0.01737466,0.002363118,0.000853008,0.04254125,0.001734686,0.03005566,0.0001035181,0.04355181,0.0001532495,0.03195933,0.07229158,0.003226975,0.003103636,0.0001041358,0.0008233868,3.910312E-05,0.001025617,0.0003788205,0.0003290879,0.03484382,0.0003913136,0.002952235,0.001192642,1.056638E-05,4.176617E-05,0.001907967,0.06190974,0.01667146,0.04904304,0.004007705,0.01521627,0.001625617,0.02032034,0.01064647,9.399587,0.0001308426,0.02047819,0.163763,1.586781,0.1501045,0.0007527813,0.0003752955,0.01815874,0.1160148,0.2888977,0.07337964,0.0248333,0.04247765,0.06086032,0.02665858,0.0002399587,2.14125,0.006902304,0.004004808,0.04311874,0.09422973,20.4465,1.734806,3.296166,4.403964,9.660397,7.059269,8.170549,13.48217
5,0.02321663,0.002690263,0.001957331,0.03294794,0.02451369,0.1746522,0.006829398,0.002827521,0.04318588,0.003415476,0.01522076,0.002401056,0.0006927011,0.009163698,0.01742834,0.002371111,0.0008540188,0.0430367,0.001731813,0.03093984,0.0001041149,0.04355451,0.0001544994,0.03290214,0.07229438,0.003435096,0.003138597,0.000105109,0.0008485748,3.90846E-05,0.001022972,0.0003913123,0.0003294026,0.0379763,0.0004002943,0.003091753,0.001296696,1.035519E-05,4.234058E-05,0.001922343,0.06261574,0.01615457,0.04914992,0.004027682,0.01520552,0.001631046,0.01998197,0.01083619,9.321158,0.0001308864,0.02044357,0.1624955,1.568183,0.1487101,0.0007458931,0.0003732826,0.01768021,0.1249041,0.279328,0.0648511,0.02498244,0.0411763,0.06020305,0.02634,0.0002423732,1.989008,0.007884997,0.004049086,0.0410659,0.09183113,19.86605,1.711861,3.142089,4.32959,12.08044,7.1208,11.55866,17.62049
6,0.02323048,0.002676497,0.001949499,0.03299534,0.02455359,0.1746344,0.006840416,0.002832306,0.04326893,0.003396878,0.01522061,0.002404448,0.0006955357,0.009252559,0.01747545,0.002379955,0.0008541048,0.04199236,0.001731041,0.03125016,0.0001041281,0.04392018,0.0001563927,0.03355477,0.07232176,0.003419298,0.003172735,0.0001062911,0.0008646694,3.890935E-05,0.001021419,0.0003887085,0.0003298312,0.03823178,0.000399077,0.003263187,0.001367281,1.014413E-05,4.240657E-05,0.001934563,0.06320716,0.01490245,0.04948744,0.0040507,0.01524807,0.001637874,0.02017901,0.01096297,9.177586,0.0001308274,0.02042887,0.1621222,1.564322,0.1468339,0.0007387772,0.0003642273,0.01746286,0.1428714,0.2915402,0.05986453,0.02627731,0.04122478,0.05523784,0.02528158,0.0002454735,1.873158,0.009154728,0.004069551,0.0360163,0.09016027,19.55707,1.593632,3.596383,4.844378,14.02157,5.782809,13.99932,23.29362
7,0.02324592,0.002663147,0.001941252,0.03302359,0.02459608,0.1747839,0.00685239,0.002837964,0.04335642,0.003377844,0.01525812,0.002408948,0.0006991805,0.009337392,0.01736523,0.002386969,0.0008508372,0.04049078,0.001731265,0.03070323,0.0001025989,0.04414857,0.0001539604,0.03345829,0.07238885,0.003243437,0.003175206,0.0001071443,0.0008505445,3.853977E-05,0.001021146,0.000379684,0.0003298989,0.03679914,0.0003865263,0.003323024,0.001371347,9.951494E-06,4.224658E-05,0.00194238,0.06341372,0.01352526,0.04993592,0.004065776,0.01530691,0.001640253,0.02049571,0.01096467,9.024791,0.0001306744,0.02043493,0.1625187,1.575417,0.1442958,0.0007313866,0.0003537472,0.01750496,0.1666614,0.3113475,0.05893243,0.02792192,0.0417363,0.04945303,0.02403327,0.0002472796,1.802695,0.01001239,0.00389022,0.03060417,0.08955543,19.54317,1.4332,4.605379,5.76959,15.65462,4.514421,15.4118,27.79734
8,0.02326166,0.002650143,0.001933269,0.0330371,0.02463936,0.1750952,0.006866386,0.002844356,0.04345326,0.003358915,0.01532982,0.002414339,0.0007032398,0.009422333,0.01718713,0.002392192,0.0008452395,0.03890625,0.001731793,0.02987019,9.779807E-05,0.04417655,0.0001477775,0.03259583,0.07248157,0.003054015,0.003158947,0.0001076347,0.0008285173,3.84477E-05,0.001022416,0.0003687447,0.0003294872,0.03496097,0.000355914,0.003244077,0.001359325,9.79085E-06,4.203116E-05,0.001940614,0.06301251,0.01222171,0.05043402,0.004063944,0.01535409,0.00163357,0.02033242,0.01083618,8.872606,0.0001305044,0.02045587,0.1634522,1.598416,0.1420235,0.0007240609,0.0003433008,0.01754133,0.185961,0.3398145,0.06426972,0.03063202,0.04383282,0.04396028,0.02277647,0.0002465759,1.786571,0.01076564,0.003726599,0.02573626,0.09020217,19.82088,1.280818,6.12627,6.852322,16.3523,3.665766,14.77589,30.76505
9,0.02327812,0.002636976,0.001926294,0.03304393,0.02467978,0.1754222,0.006881358,0.002850425,0.04355523,0.003340053,0.01539766,0.002418059,0.0007071818,0.009512241,0.01721242,0.002399238,0.0008424687,0.03733879,0.001732018,0.03000878,9.874115E-05,0.04480939,0.0001497267,0.03191714,0.07254502,0.003024399,0.003144182,0.0001089827,0.0008198086,3.845893E-05,0.001025812,0.0003579148,0.0003285802,0.03483522,0.0003384112,0.003150145,0.001364957,9.671464E-06,4.174228E-05,0.001937255,0.06232262,0.01104821,0.05092762,0.00405019,0.01542318,0.001620957,0.02024624,0.01066794,8.69914,0.0001302865,0.02046707,0.164406,1.624806,0.142526,0.000717503,0.0003324189,0.01771908,0.1968041,0.3708777,0.07636152,0.03367401,0.04675547,0.03902376,0.02156391,0.0002462973,1.821946,0.01259821,0.004785438,0.02224621,0.09188963,20.36268,1.224929,7.788492,7.739007,16.43289,3.095974,13.54416,30.82135
10,0.02329034,0.002623808,0.001921184,0.03304389,0.02471234,0.1755674,0.006897135,0.002855809,0.04365873,0.003321358,0.01540007,0.002421104,0.0007097117,0.009603047,0.01729698,0.002407742,0.0008425009,0.0377735,0.001731881,0.03061079,9.490848E-05,0.04441311,0.0001463504,0.03103633,0.07255298,0.0032684,0.003169082,0.0001111022,0.0008431236,3.855157E-05,0.001027304,0.0003613062,0.0003272819,0.03698739,0.0003177777,0.002983021,0.00132472,9.592795E-06,4.148135E-05,0.001930873,0.06145001,0.01124801,0.05132665,0.004031588,0.01547378,0.001602112,0.01999356,0.01050208,8.688662,0.0001302067,0.02045662,0.1651113,1.647029,0.1448967,0.0007121509,0.000322208,0.01768526,0.1948892,0.3967476,0.08877537,0.03593232,0.04979774,0.04125661,0.02228894,0.0002441013,1.883949,0.01475264,0.006198594,0.02957607,0.09384616,21.55433,1.451076,8.97788,8.009977,15.41557,2.661825,11.57306,29.48524
