"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 5:23:56 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.02323935,0.00267049,0.001945536,0.03294053,0.02457465,0.1751012,0.00685022,0.002837329,0.04332833,0.003387599,0.01532026,0.002406512,0.0006990035,0.009296805,0.01732984,0.002382179,0.0008484932,0.04010551,0.001734004,0.0303143,9.944171E-05,0.04390965,0.0001516737,0.03162554,0.07238098,0.003214858,0.003150959,0.0001064722,0.0008363554,3.887194E-05,0.001026102,0.0003738714,0.0003282116,0.03591458,0.0003611522,0.003040516,0.001272315,1.015308E-05,4.162645E-05,0.001919526,0.06176831,0.01387477,0.05001557,0.004022645,0.01533969,0.001617479,0.02027163,0.010585,9.04252,0.000130653,0.02046486,0.1644796,1.616027,0.1478057,0.0007358158,0.0003506522,0.01795534,0.1560778,0.3423342,0.08058916,0.03049397,0.04618871,0.05125022,0.02467171,0.0002419776,2.022157,0.01047097,0.004932311,0.03764801,0.09396592,21.17854,1.638332,5.961861,6.197931,12.12274,4.38791,9.969611,21.87309
2,0.02341297,0.002519306,0.001882552,0.03340046,0.02499526,0.1758006,0.007017966,0.002892437,0.04443933,0.003176137,0.01392385,0.002420095,0.0007254523,0.01034688,0.01489415,0.002473096,0.0008267153,0.03967489,0.00173021,0.02979909,9.20114E-05,0.04373118,9.485837E-05,0.02871756,0.07288221,0.003246253,0.003179615,0.0001126278,0.0008624223,3.948742E-05,0.001030044,0.0003779594,0.0003266963,0.03523061,0.0003007552,0.002914011,0.001276005,8.622707E-06,4.127011E-05,0.001910243,0.06086111,0.01291355,0.05295124,0.004019171,0.01552487,0.001570106,0.01771779,0.01032351,9.048619,0.000130869,0.01944501,0.1633798,1.642024,0.1471432,0.0006669031,0.000336831,0.01772611,0.15955,0.3394814,0.08023947,0.03317393,0.04484335,0.05092409,0.0243876,0.0002411348,2.020043,0.009757237,0.004034058,0.03558181,0.0900118,21.10236,1.636347,5.957089,6.198414,12.12138,4.375986,9.971498,21.87283
3,0.02356829,0.002384391,0.00182805,0.03380634,0.02537953,0.1764855,0.007188933,0.00297137,0.0455461,0.002985659,0.0125461,0.002417926,0.0007461826,0.01139952,0.01141936,0.002576726,0.0007832574,0.03915214,0.00173833,0.03039254,9.224389E-05,0.04362546,8.584949E-05,0.02621796,0.07322878,0.003478566,0.003254125,0.0001185502,0.0008908834,4.074131E-05,0.001032862,0.000379433,0.0003342048,0.03448693,0.0003081035,0.002479446,0.001368956,7.358812E-06,4.07729E-05,0.001920749,0.05800487,0.01225133,0.05629709,0.003991343,0.01624409,0.001547502,0.01526013,0.01011352,9.065103,0.0001309813,0.018424,0.1624374,1.675169,0.1474355,0.0006068545,0.0003318079,0.01754488,0.1642559,0.3439818,0.07942093,0.02995436,0.04607049,0.05078639,0.02383994,0.0002404234,2.020523,0.009420371,0.003919518,0.03472059,0.08569501,21.02263,1.634938,5.961999,6.19819,12.11741,4.387814,9.971506,21.87632
4,0.0237166,0.002264477,0.001780885,0.0341889,0.02573495,0.177229,0.007362902,0.0030385,0.04660556,0.002815481,0.01222609,0.00245522,0.0007650632,0.01251158,0.009195119,0.002678868,0.0007450206,0.03823218,0.001751982,0.03111053,9.354838E-05,0.04314818,9.404845E-05,0.02420093,0.07342406,0.00351144,0.003366822,0.0001233747,0.0009192421,4.307211E-05,0.00103769,0.0003824064,0.0003427432,0.03271829,0.0003233945,0.002221888,0.001391193,6.500546E-06,4.012122E-05,0.001911094,0.05512529,0.01179152,0.06016752,0.00392929,0.01680517,0.001532232,0.01475798,0.01002178,9.093879,0.0001315021,0.01829008,0.1608142,1.709145,0.1479754,0.0005545221,0.0003308742,0.0173951,0.1652442,0.3523326,0.07875065,0.03052683,0.04377434,0.05069065,0.0232094,0.0002394473,2.023471,0.009618017,0.004239697,0.03528626,0.0843989,20.94713,1.631562,5.940359,6.196232,12.11195,4.369055,9.98065,21.88128
5,0.02386252,0.002157498,0.001739664,0.03454404,0.0260648,0.1776329,0.007527582,0.003041158,0.04744805,0.002664509,0.01155081,0.002475791,0.0007831533,0.01368035,0.007694161,0.002740418,0.0007152835,0.03684573,0.001746316,0.03042348,8.935743E-05,0.04241289,7.054582E-05,0.02070994,0.07343405,0.003395438,0.003374331,0.0001278502,0.000948403,4.565004E-05,0.001047177,0.0003855914,0.00034206,0.02981092,0.0002870622,0.002361853,0.001143032,5.831174E-06,3.916566E-05,0.001866029,0.05217401,0.01080436,0.06456639,0.00379471,0.01676724,0.001493359,0.01372178,0.00980226,9.139901,0.0001320453,0.01788927,0.1576313,1.738632,0.148995,0.0005089332,0.0003313954,0.01726904,0.1617722,0.3442887,0.08132278,0.02983468,0.04341536,0.05067438,0.02289763,0.0002389741,2.026301,0.009333117,0.003825065,0.0343927,0.08102064,20.88716,1.631955,5.958763,6.198425,12.11327,4.37895,9.976471,21.88192
6,0.02401058,0.002061746,0.001704204,0.03489314,0.02636247,0.177827,0.007684607,0.002997782,0.04807843,0.00253122,0.01089757,0.002482709,0.0008008168,0.01487734,0.006914102,0.002761106,0.0006901689,0.03563,0.001727692,0.02945334,9.091275E-05,0.04149871,6.731017E-05,0.01811151,0.07330766,0.003254631,0.003344845,0.000132827,0.0009796304,4.801269E-05,0.001061731,0.0003884825,0.0003367672,0.02684083,0.0002962751,0.002207523,0.001072043,5.278277E-06,3.794175E-05,0.001819911,0.051194,0.01000989,0.06949829,0.003626868,0.01654342,0.001447465,0.01278026,0.009647354,9.210277,0.0001320767,0.01745161,0.1532116,1.763163,0.1502915,0.0004692322,0.0003322759,0.01719951,0.1650287,0.3461456,0.08091044,0.03231348,0.04232271,0.05071248,0.02299128,0.0002390697,2.031004,0.009226265,0.003832821,0.03414488,0.07690729,20.83885,1.63,5.938775,6.195763,12.10879,4.367383,9.984504,21.88745
7,0.02416334,0.001975646,0.001673055,0.03522403,0.02664945,0.1780677,0.007836425,0.002940637,0.04852,0.00241407,0.009976007,0.002474252,0.0008210181,0.01611221,0.005887151,0.002755538,0.0006706189,0.03475647,0.001730071,0.02856662,8.524155E-05,0.04073435,4.623146E-05,0.01528175,0.07301649,0.003263244,0.003276831,0.0001370776,0.001012505,5.055452E-05,0.001078611,0.0003902598,0.0003309863,0.02440732,0.000254675,0.001984553,0.001126864,4.776076E-06,3.644994E-05,0.001787509,0.04982214,0.009072344,0.07496595,0.003444997,0.01641949,0.0014013,0.01135781,0.009500387,9.296375,0.0001311373,0.01681772,0.147815,1.783062,0.1515544,0.0004346542,0.0003330506,0.0171435,0.1652039,0.350546,0.08260562,0.03164236,0.04434515,0.05079107,0.02339987,0.0002387197,2.026755,0.008778654,0.003303789,0.03277422,0.0714941,20.81716,1.629519,5.938793,6.19547,12.10794,4.369135,9.985072,21.88943
8,0.02432076,0.001898725,0.001645785,0.03554021,0.02692995,0.1785454,0.007985942,0.00291012,0.04912623,0.0023116,0.00928808,0.002458711,0.0008376847,0.01732587,0.004517798,0.002754633,0.0006545438,0.03486362,0.001698602,0.0279907,8.704464E-05,0.04024775,4.296759E-05,0.01353948,0.07301634,0.003313295,0.003220607,0.0001423367,0.001044532,5.344281E-05,0.001095797,0.0003916634,0.0003259362,0.02452812,0.0002598026,0.001744018,0.001044126,4.330511E-06,3.641059E-05,0.001805252,0.04819831,0.009188225,0.08103832,0.003401369,0.01637478,0.001380635,0.0104544,0.009582714,9.394635,0.000133559,0.01633444,0.1446992,1.808553,0.1526197,0.0004045609,0.0003355595,0.01705522,0.1673289,0.3549748,0.08178543,0.03220181,0.04381926,0.05097677,0.02427455,0.000241335,2.026319,0.008647205,0.003269651,0.03244657,0.06678673,20.7913,1.628152,5.924147,6.191448,12.10416,4.359428,9.989886,21.89201
9,0.02448607,0.001830039,0.001621737,0.03583805,0.02720662,0.1790763,0.008128867,0.002872133,0.04979623,0.002222779,0.009063014,0.002473222,0.0008556978,0.01858529,0.004294617,0.002754305,0.0006472218,0.03542722,0.001686941,0.02698103,8.691067E-05,0.03924093,4.333939E-05,0.01253067,0.07323619,0.003196531,0.003134761,0.000148248,0.00107962,5.605637E-05,0.001116465,0.0003943984,0.0003138501,0.02443501,0.00026452,0.001566974,0.0009395664,4.021605E-06,3.682552E-05,0.001811745,0.04770119,0.009037613,0.08776476,0.003379271,0.0159653,0.001356961,0.01044961,0.009747218,9.464279,0.0001380777,0.01634027,0.1424843,1.832382,0.1534381,0.0003783877,0.0003382815,0.01702313,0.1567023,0.3529736,0.08449096,0.03168105,0.04499321,0.05118865,0.02545559,0.0002443613,2.024666,0.008743995,0.003357061,0.03271962,0.06426559,20.76322,1.629716,5.935052,6.189387,12.10649,4.362279,9.987336,21.89169
10,0.02465213,0.001767445,0.001600788,0.03612078,0.02747644,0.1798055,0.008273978,0.00287548,0.05055297,0.002146277,0.009083877,0.002520658,0.0008805231,0.01993196,0.004305625,0.00278587,0.0006474461,0.03694241,0.001727836,0.02707902,8.780754E-05,0.03871206,4.351887E-05,0.01209387,0.07356932,0.003301998,0.003116896,0.0001542072,0.001119018,5.811353E-05,0.001139356,0.0003973039,0.0003056338,0.02578122,0.0002675462,0.001593283,0.0007613896,3.817345E-06,3.753561E-05,0.001853731,0.04911466,0.009607627,0.09509598,0.003400684,0.01591141,0.00135455,0.01091893,0.01007702,9.510522,0.0001431129,0.01663864,0.1411015,1.850658,0.1538331,0.0003555207,0.0003386467,0.01701664,0.1657906,0.3451404,0.08425555,0.03355057,0.04473585,0.05132831,0.02676903,0.0002468963,2.024574,0.008837723,0.003290862,0.03301757,0.06272305,20.71088,1.628047,5.929149,6.186082,12.10246,4.364646,9.990014,21.89459
