"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,ShannonDiversity

year,value
1980,1.830549
1981,1.782939
1982,1.795177
1983,1.893665
1984,1.876131
1985,1.852812
1986,1.815594
1987,1.817097
1988,1.911073
1989,1.854401
1990,1.798597
1991,1.841882
1992,1.756231
1993,1.802825
1994,1.811224
1995,1.809678
1996,1.767298
1997,1.848001
1998,1.825741
1999,1.905034
2000,1.785707
2001,1.801964
2002,1.837107
2003,1.807859
2004,1.81835
2005,1.906676
2006,1.804544
2007,1.867899
2008,1.911648
2009,1.864662
2010,1.934858
2011,1.976657
2012,1.978002
2013,2.016361
2014,1.917885
2015,1.947945
2016,2.017504
