"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,TotalCatch

year,value
1980,4.233727
1981,3.312876
1982,3.714732
1983,4.846174
1984,5.140121
1985,4.594563
1986,4.010765
1987,4.368498
1988,3.778818
1989,4.265044
1990,3.689049
1991,4.549626
1992,4.807871
1993,4.633175
1994,5.024514
1995,4.704351
1996,3.858852
1997,4.473301
1998,4.111523
1999,5.151527
2000,4.453486
2001,4.066314
2002,4.701993
2003,4.579519
2004,4.74641
2005,4.333048
2006,4.193761
2007,3.856805
2008,2.814957
2009,3.480648
2010,5.316169
2011,5.830412
2012,5.145391
2013,4.378256
2014,4.279726
2015,4.386191
2016,6.19826
