"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Landings

year,fleet,group,value
1982,9,18,0.001242955
1982,9,25,0.000323581
1982,9,41,0.01418533
1982,9,42,0.01392987
1982,9,43,0.0003706107
1982,9,44,2.306523E-07
1982,9,46,0.0001841688
1982,9,47,0.01382809
1982,9,48,2.527452E-05
1982,9,49,5.499127E-05
1982,9,52,0.000103827
1982,9,54,2.395286E-05
1982,9,57,0.001686556
1982,9,58,0.001051993
1982,9,63,8.943738E-06
1982,9,64,0.0009908763
1982,9,65,0.001044823
1982,9,66,3.955105E-05
1982,9,72,2.761817E-05
1982,9,73,0.001575937
1982,10,15,0.003260305
1982,10,18,0.0008819284
1982,10,41,0.002094875
1982,10,46,4.991196E-06
1982,10,54,0.0004034281
1982,10,57,0.003285326
1982,10,58,2.705343E-06
1982,10,64,0.000248978
1982,10,72,1.018988E-05
1982,11,41,2.113043E-06
1982,11,42,2.58809E-05
1982,11,46,3.896681E-06
1982,11,47,8.908196E-05
1982,11,66,6.972554E-06
1982,11,72,0.000624677
1982,12,18,4.88523E-06
1982,12,42,0.004728498
1982,12,46,0.001661195
1982,12,47,0.01475847
1982,12,48,0.004092109
1982,12,64,0.0002630696
1982,12,66,5.485287E-05
1982,12,71,0.008218087
1982,12,72,0.02744798
1982,13,9,2.554059E-06
1982,13,12,2.26915E-07
1982,13,15,4.627215E-06
1982,13,18,5.434686E-05
1982,13,25,7.379973E-08
1982,13,26,2.84735E-05
1982,13,33,2.064195E-05
1982,13,34,3.128696E-06
1982,13,35,2.485456E-10
1982,13,40,1.565738E-05
1982,13,41,5.761628E-07
1982,13,42,3.066188E-06
1982,13,44,3.094897E-07
1982,13,45,2.224664E-06
1982,13,46,0.0001375913
1982,13,47,7.139241E-05
1982,13,48,1.444363E-06
1982,13,49,1.150479E-05
1982,13,52,1.028917E-05
1982,13,53,4.06052E-07
1982,13,57,1.110498E-08
1982,14,9,8.26134E-05
1982,14,15,0.0001482892
1982,14,18,0.001278273
1982,14,25,9.115969E-05
1982,14,34,0.0007991241
1982,14,40,0.0002999629
1982,14,41,0.001138996
1982,14,42,0.01082141
1982,14,43,2.501467E-06
1982,14,44,0.001445836
1982,14,45,4.990214E-05
1982,14,46,0.002065263
1982,14,47,0.003580912
1982,14,48,0.001475444
1982,14,49,2.145911E-05
1982,14,52,0.001576956
1982,14,53,1.939487E-05
1982,14,57,1.584002E-08
1982,14,63,4.398692E-08
1982,14,64,0.001375677
1982,15,9,7.904796E-07
1982,15,12,3.452462E-05
1982,15,15,9.153432E-05
1982,15,18,0.001575533
1982,15,25,3.468335E-06
1982,15,26,0.0001067323
1982,15,33,4.160562E-05
1982,15,34,0.0006467242
1982,15,40,0.000210988
1982,15,41,0.0003146105
1982,15,42,0.0008057792
1982,15,44,3.944865E-06
1982,15,45,0.000175464
1982,15,46,0.0004380697
1982,15,47,6.301262E-05
1982,15,48,0.0001168001
1982,15,49,6.580992E-06
1982,15,53,5.0046E-07
1982,16,9,0.0001687887
1982,16,12,2.100091E-05
1982,16,15,4.706069E-05
1982,16,18,0.00174017
1982,16,25,8.418255E-06
1982,16,26,0.0003565747
1982,16,33,0.001058538
1982,16,34,0.000332232
1982,16,40,0.0004416542
1982,16,41,0.0002863946
1982,16,42,0.008998766
1982,16,44,0.000637075
1982,16,45,0.002778771
1982,16,46,0.00476555
1982,16,47,0.00529322
1982,16,48,0.004149732
1982,16,49,2.019469E-05
1982,16,52,0.0009042097
1982,16,53,3.156464E-05
1982,16,57,3.300157E-05
1982,16,64,0.0001771926
1983,1,71,0.03258924
1983,1,72,0.00021676
1983,1,74,1.286245E-05
1983,2,12,1.990452E-08
1983,2,15,2.278457E-07
1983,2,18,0.0004326097
1983,2,23,6.88322E-07
1983,2,26,3.325654E-05
1983,2,30,1.456214E-08
1983,2,33,9.36674E-05
1983,2,35,2.020576E-09
1983,2,40,0.0006573389
1983,2,41,1.259001E-05
1983,2,42,0.0004031931
1983,2,46,0.0008476894
1983,2,47,0.0002843781
1983,2,48,0.0002248682
1983,2,64,2.378813E-06
1983,2,72,4.211226E-06
1983,3,15,2.430685E-05
1983,3,18,9.509194E-06
1983,3,26,2.46299E-07
1983,3,30,2.043367E-09
1983,3,33,1.86197E-05
1983,3,35,3.589263E-09
1983,3,40,6.799515E-06
1983,3,41,0.0001281298
1983,3,46,7.766199E-06
1983,3,47,0.005624142
1983,4,15,6.695288E-06
1983,5,12,1.199843E-06
1983,6,18,0.007964089
1983,6,23,0.0001324068
1983,6,40,0.0002972636
1983,6,41,0.002385487
1983,6,42,0.00438058
1983,6,46,0.000969631
1983,6,47,0.01100955
1983,6,48,0.00772332
1983,6,54,4.180485E-06
1983,6,57,0.004395725
1983,6,58,0.001421599
1983,6,64,0.03844992
1983,6,72,0.0002545139
1983,7,40,2.300946E-05
1983,7,46,2.62807E-05
1983,7,47,1.107652E-05
1983,7,49,0.0002190982
1983,7,64,3.067037E-06
1983,7,72,0.0003722345
1983,8,33,2.119688E-06
1983,8,40,3.405892E-05
1983,8,46,9.548438E-05
1983,8,47,0.001280951
1983,8,72,0.015524
1983,9,9,0.0002683591
1983,9,12,9.795095E-06
1983,9,18,0.001181978
1983,9,25,0.0003294408
1983,9,41,0.01393548
1983,9,42,0.01360357
1983,9,43,0.0003797076
1983,9,44,2.23523E-07
1983,9,46,0.0002117886
1983,9,47,0.01436536
1983,9,48,3.114084E-05
1983,9,49,6.118789E-05
1983,9,52,0.0001116917
1983,9,54,3.054691E-05
1983,9,57,0.001962508
1983,9,58,0.001428237
1983,9,63,1.183104E-05
1983,9,64,0.0009277042
1983,9,65,0.001348804
1983,9,66,8.987082E-05
1983,9,72,3.305106E-05
1983,9,73,0.003095024
1983,10,15,0.002358492
1983,10,18,0.000861831
1983,10,41,0.00211483
1983,10,46,5.89829E-06
1983,10,54,0.0005287022
1983,10,57,0.003928475
1983,10,58,3.774373E-06
1983,10,64,0.0002395445
1983,10,72,1.253126E-05
1983,11,41,1.871676E-06
1983,11,42,2.278897E-05
1983,11,46,4.040368E-06
1983,11,47,8.344185E-05
1983,11,66,1.428539E-05
1983,11,72,0.0006740399
1983,12,18,4.082652E-06
1983,12,42,0.004058192
1983,12,46,0.001678846
1983,12,47,0.01347409
1983,12,48,0.004430965
1983,12,64,0.0002164534
1983,12,66,0.0001095377
1983,12,71,0.008282254
1983,12,72,0.0288672
1983,13,9,2.460873E-06
1983,13,12,2.103794E-07
1983,13,15,3.179276E-06
1983,13,18,5.044238E-05
1983,13,25,7.333589E-08
1983,13,26,3.024375E-05
1983,13,33,5.815999E-06
1983,13,34,5.441595E-06
1983,13,35,2.870688E-10
1983,13,40,1.527984E-05
1983,13,41,5.524528E-07
1983,13,42,2.922617E-06
1983,13,44,2.927374E-07
1983,13,45,1.976103E-06
1983,13,46,0.0001544347
1983,13,47,7.238925E-05
1983,13,48,1.736965E-06
1983,13,49,1.249447E-05
1983,13,52,1.080334E-05
1983,13,53,4.335176E-07
1983,13,57,1.261235E-08
1983,14,9,9.976197E-05
1983,14,15,0.0001276951
1983,14,18,0.001486966
1983,14,25,0.0001135326
1983,14,34,0.00174194
1983,14,40,0.0003668796
1983,14,41,0.001368763
1983,14,42,0.01292746
1983,14,43,3.135088E-06
1983,14,44,0.001713986
1983,14,45,5.555467E-05
1983,14,46,0.002905263
1983,14,47,0.004550633
1983,14,48,0.002223789
1983,14,49,2.920836E-05
1983,14,52,0.00207517
1983,14,53,2.595184E-05
1983,14,57,2.254706E-08
1983,14,63,7.117883E-08
1983,14,64,0.001575543
1983,15,9,7.581259E-07
1983,15,12,3.186113E-05
1983,15,15,6.26015E-05
1983,15,18,0.001455595
1983,15,25,3.430639E-06
1983,15,26,0.0001128451
1983,15,33,1.166857E-05
1983,15,34,0.001119629
1983,15,40,0.0002049509
1983,15,41,0.0003002723
1983,15,42,0.0007645067
1983,15,44,3.714124E-06
1983,15,45,0.0001551406
1983,15,46,0.0004894286
1983,15,47,6.359774E-05
1983,15,48,0.0001398138
1983,15,49,7.114146E-06
1983,15,53,5.318468E-07
