"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:22 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
11,0.1745827,0.1704043,0.1611922,0.2640893,0.1316897,0.3273588,0.2746477,0.2364793,0.3099687,0.3157161,0.4361553,0.5406759,0.4356475,0.4992889,0.8997629,0.4164908,0.1136453,0.8119659,0.3996335,0.6781532,1.044303,0.2106065,1.881874,0.4878627,0.526329,0.5086668,0.3684903,0.3908816,0.3315805,0.2556306,0.1018616,0.3379219,0.2853309,0.634874,0.8637027,2.036157,0.3293997,0.5107131,0.6845677,0.6383938,0.6969593,0.7768434,1.107826,0.757031,0.8969401,1.198729,1.100566,0.4266175,1.458247,0.316101,0.4981954,0.9364781,1.659808,1.74656,0.167286,1.032518,1.281643,2.378007,1.718516,1.868772,1.687407,1.711501,2.103833,0.8536423,1.582657,3.629215,4.118924,5.904097,3.668517,2.491436,1.796635,3.001328,18.10188,5.643239,28.02786,27.93847,164.7099,0
12,0.1749297,0.170871,0.161542,0.2645958,0.1319351,0.3280002,0.274947,0.2369545,0.3105298,0.3161998,0.438043,0.5424482,0.4414888,0.4996021,0.9024267,0.4184654,0.1146252,0.8196211,0.4008044,0.6799539,1.140791,0.212342,1.907794,0.4929477,0.5287354,0.5298576,0.3700012,0.4184347,0.3330601,0.2751835,0.1021556,0.3397101,0.2860966,0.6381903,0.9286938,2.055899,0.3312784,0.512799,0.6883926,0.6446585,0.7003511,0.7807024,1.114246,0.7617816,0.9062243,1.20548,1.109432,0.4275865,1.476773,0.3168694,0.5002678,0.9234678,1.682117,1.764565,0.1678905,1.043968,1.281229,3.623017,1.784514,1.907475,1.720985,1.740998,2.063659,0.8648407,1.60204,3.635981,4.184712,6.073011,3.736089,2.499997,1.777699,2.993402,20.93867,5.694895,12.02862,12.96283,69.847,0
13,0.168054,0.1659483,0.1612631,0.2579513,0.1266564,0.3255362,0.2759686,0.4318294,0.3080158,0.3232895,0.4787907,0.5790387,0.4885358,0.5008549,1.205639,0.4635001,0.1052353,0.8312969,0.3358108,0.6407139,1.354789,0.2061812,2.851217,0.5175921,0.5111744,0.5474356,0.3542509,0.4305382,0.3290205,0.2903446,0.161956,0.8639435,0.4035357,0.3892995,1.207303,2.010165,0.3422654,0.5099728,0.6765064,0.6390624,0.7075411,0.8283766,1.062168,0.7508652,0.8907295,1.157027,1.154081,0.501387,1.40384,0.3639908,0.538702,0.8490908,1.597887,1.663947,0.1663275,0.9978677,1.194386,3.476375,1.647147,1.711934,1.562431,1.605834,1.906506,0.8783387,1.530823,3.48027,4.114314,6.125794,3.695956,2.457412,1.646349,2.841321,16.5114,5.056614,31.25984,30.68097,175.0252,0
14,0.1680647,0.1660217,0.1614582,0.2580622,0.1263854,0.3257436,0.2760678,0.432055,0.3082876,0.3234505,0.4792285,0.5793167,0.5029214,0.5006978,1.207351,0.4656225,0.1079621,0.8377619,0.3359353,0.6416346,1.545457,0.2060679,2.821844,0.5196413,0.511618,0.5837751,0.3544648,0.4789866,0.3287806,0.3293299,0.1613357,0.8662881,0.4049591,0.3901388,1.319734,2.006752,0.3422046,0.5101032,0.6775748,0.6440263,0.7079362,0.8263438,1.062394,0.754639,0.8980604,1.150852,1.149643,0.5027769,1.404451,0.3643287,0.537831,0.830771,1.591074,1.648592,0.1667482,1.0052,1.179851,2.919155,1.48426,1.63985,1.502495,1.554956,1.808398,0.8766783,1.524668,3.419323,3.940241,5.656506,3.517894,2.432766,1.558677,2.669959,12.03834,4.399756,37.60732,31.74038,198.4324,0
15,0.1679714,0.1659995,0.1615833,0.2579241,0.1260608,0.3257411,0.2760843,0.4321215,0.3084465,0.3235072,0.4791671,0.579172,0.5189376,0.5004772,1.208278,0.4677297,0.1115477,0.8433676,0.3358479,0.64191,1.766574,0.2059607,2.825137,0.5208641,0.5113907,0.6238189,0.3545707,0.5248584,0.3285357,0.3722802,0.1612682,0.8679758,0.40637,0.3906564,1.475676,2.002815,0.342243,0.5094174,0.6782723,0.6480637,0.7068567,0.8231745,1.060831,0.7569221,0.9062672,1.142552,1.144063,0.5033981,1.401254,0.3642865,0.5362509,0.8333429,1.584372,1.631093,0.1670995,1.01044,1.164449,3.256011,1.41464,1.60983,1.482331,1.537897,1.716291,0.8756936,1.516092,3.338291,3.753418,5.210293,3.337962,2.383026,1.499982,2.543279,9.447042,4.147629,29.02534,24.5363,149.785,0
16,0.1678334,0.1659143,0.1616572,0.2577582,0.1256948,0.3256395,0.2760469,0.4320575,0.3085383,0.3235139,0.4788113,0.5786953,0.536003,0.5002089,1.208718,0.4697721,0.1159004,0.8481128,0.3355793,0.6418264,1.963265,0.2051937,2.827592,0.5206115,0.5110673,0.6570069,0.3541962,0.5564977,0.3277479,0.4103238,0.1609493,0.868942,0.4077863,0.3906274,1.630952,1.987267,0.3415091,0.5084594,0.678066,0.6504436,0.7053167,0.81941,1.058355,0.7583466,0.9151051,1.131806,1.135478,0.5038339,1.393512,0.3640533,0.5344567,0.8456988,1.571924,1.60961,0.167384,1.014399,1.148416,3.262008,1.297925,1.535572,1.425023,1.487576,1.626714,0.8706592,1.500776,3.255899,3.564308,4.853536,3.188894,2.327155,1.455848,2.437781,6.995248,4.066265,34.9431,27.10698,174.9956,0
17,0.1676108,0.1657672,0.1616502,0.2574216,0.1252863,0.3252635,0.2759181,0.4317652,0.3084885,0.3234074,0.4778164,0.5775619,0.554073,0.4998922,1.208079,0.4716334,0.1210502,0.850877,0.3350804,0.6410769,2.08959,0.2037251,2.799621,0.5184908,0.5097877,0.68356,0.3532704,0.5746247,0.3264045,0.4405209,0.1604613,0.8689672,0.4090109,0.389674,1.768019,1.960503,0.339988,0.5064644,0.6765298,0.6505647,0.7021202,0.8133694,1.053742,0.757948,0.9234775,1.115267,1.121897,0.503476,1.37611,0.363442,0.5313364,0.8631574,1.54746,1.579091,0.167557,1.015405,1.127842,3.158184,1.210645,1.438654,1.350356,1.41919,1.532633,0.8586602,1.472216,3.143359,3.299798,4.355964,2.971252,2.252217,1.40276,2.307358,4.461483,3.959876,36.42507,24.85431,180.3008,0
18,0.1673717,0.1655634,0.1614912,0.2570633,0.1248666,0.3247566,0.2757305,0.431354,0.3083925,0.323272,0.4765885,0.5762633,0.572612,0.4995728,1.206546,0.4734032,0.1268819,0.8520267,0.3344198,0.6397189,2.129045,0.2022827,2.780873,0.5159366,0.5085003,0.7007129,0.3524234,0.5756428,0.3253342,0.4599303,0.1601555,0.8676298,0.4099203,0.3877375,1.810502,1.938519,0.3388996,0.5036327,0.6747291,0.6492752,0.6989798,0.8086646,1.048554,0.7567419,0.9330291,1.100504,1.109997,0.5027729,1.358967,0.3624824,0.5284473,0.8952937,1.530046,1.550794,0.1675055,1.010854,1.110158,3.077281,1.290737,1.422421,1.352761,1.417401,1.463591,0.8512577,1.442884,2.987858,3.178692,4.238927,2.902197,2.179164,1.409421,2.289724,3.896752,4.341108,29.0254,21.58774,147.5292,0
19,0.1672074,0.165318,0.1611801,0.2568649,0.1244686,0.3243893,0.2755553,0.4309772,0.3083538,0.3231792,0.4757087,0.575295,0.5907272,0.4992842,1.204853,0.475117,0.1331602,0.8533424,0.3337259,0.6383736,2.070731,0.2011836,2.789355,0.514143,0.5082117,0.7047617,0.3518912,0.5617485,0.3246698,0.4632258,0.1600079,0.8657042,0.4106102,0.3854074,1.805024,1.925051,0.3383355,0.5008396,0.6732409,0.6476567,0.6973842,0.8070064,1.04426,0.7560129,0.9444123,1.092069,1.102591,0.5024449,1.347981,0.3615616,0.5269645,0.925052,1.526325,1.528362,0.1672056,1.002559,1.099401,2.576467,1.417966,1.443731,1.388103,1.446614,1.428442,0.8502233,1.418123,2.817643,3.249216,4.521357,3.006568,2.14643,1.473678,2.373607,5.191474,4.972705,24.45987,21.65065,129.4292,0
20,0.1671368,0.165082,0.1609001,0.2568102,0.1241184,0.3242706,0.275454,0.4307602,0.3084095,0.3231488,0.475519,0.5750356,0.6080604,0.4990429,1.203854,0.4768371,0.1396851,0.8559015,0.3332632,0.6375718,1.958904,0.2009642,2.831901,0.5143268,0.5091506,0.7026455,0.3520177,0.5429913,0.3247905,0.4553392,0.1601249,0.8639916,0.4113001,0.3832093,1.802735,1.927935,0.3387327,0.4994174,0.6728612,0.6465257,0.6975269,0.8081385,1.041514,0.7560295,0.9582573,1.092085,1.102244,0.5026497,1.346653,0.3610717,0.5272167,0.9426292,1.540004,1.520374,0.1669669,0.9991779,1.098196,2.112043,1.552137,1.493094,1.443513,1.493596,1.429729,0.8556985,1.408865,2.714146,3.434706,4.987341,3.196858,2.157606,1.560279,2.505206,7.983757,5.566567,18.92379,19.61703,103.455,0
