"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FIB

timestep,value
379,0.5390193
380,0.5547094
381,0.5316004
382,0.4844717
383,0.4459319
384,0.4509336
385,0.4007756
386,0.4891207
387,0.575447
388,0.6297647
389,0.6374812
390,0.5863714
391,0.4903597
392,0.3640582
393,0.2440532
394,0.1445602
395,0.06682484
396,0.04832177
397,0.02039862
398,0.05001264
399,0.09644667
400,0.1700634
401,0.2654477
402,0.3632694
403,0.4284282
404,0.4382046
405,0.3805379
406,0.2848255
407,0.1954599
408,0.148772
409,0.2042768
410,0.2073851
411,0.2312067
412,0.2622814
413,0.2850349
414,0.2895916
415,0.2651279
416,0.2215172
417,0.1785569
418,0.1308175
419,0.08964562
420,0.06942527
421,0.0152962
422,0.02607767
423,0.06453204
424,0.1230522
425,0.2022593
426,0.3039277
427,0.4024761
428,0.4572179
429,0.4377831
430,0.3547798
431,0.2792048
432,0.2556488
433,0.3400342
434,0.4447569
435,0.5461615
436,0.6249769
437,0.662729
438,0.6556215
439,0.5991675
440,0.5317734
441,0.4567505
442,0.3572524
443,0.2867525
444,0.2977066
