"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,TLC

year,value
1980,2.359398
1981,2.287328
1982,2.352413
1983,2.376756
1984,2.22277
1985,2.316229
1986,2.335716
1987,2.359544
1988,2.374635
1989,2.314415
1990,2.265648
1991,2.338778
1992,2.314159
1993,2.29283
1994,2.333658
1995,2.363821
1996,2.259406
1997,2.379463
1998,2.361381
1999,2.332313
2000,2.353847
2001,2.364642
2002,2.365048
2003,2.337133
2004,2.287131
2005,2.41977
2006,2.369779
2007,2.352656
2008,2.401683
2009,2.397135
2010,2.330881
2011,2.295862
2012,2.422017
2013,2.364831
2014,2.321527
2015,2.343556
2016,2.426307
