"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:39 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,ConsumptionBiomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
11,16.80357,18.69866,13.30138,37.26855,3.543292,3.41447,3.003089,3.28813,3.270575,3.048132,5.263084,4.726812,7.910009,4.368002,9.483811,4.996821,3.528895,6.170141,4.007036,4.11207,12.08923,3.269184,17.47652,4.878002,4.066528,7.631718,3.341638,7.665018,3.284317,14.67825,3.594014,3.339353,4.45813,6.26334,15.8306,7.58676,3.000607,3.66053,5.619224,5.495204,6.439939,6.630265,9.185261,5.110785,5.348803,4.397917,4.848169,4.584879,4.789239,3.062041,4.520979,6.827422,6.470507,8.484706,0.6629627,5.51712,7.957356,46.95713,13.80881,7.261307,6.93747,5.764894,11.62237,4.94522,5.102311,6.448442,13.24882,13.56699,13.06192,9.735601,6.104724,11.69434,51.8589,19.12347,0,0,0,0
12,15.29846,16.24979,10.8965,34.39696,3.260852,3.171412,2.874337,3.083213,3.110268,2.89046,4.820015,4.367142,7.704195,4.340909,9.125338,4.822156,3.353766,5.697426,3.688977,3.873852,12.27107,2.992522,17.66318,4.538292,3.590959,7.449943,3.119145,7.568233,3.011918,14.28948,3.268877,3.098887,3.972688,5.813407,15.77878,7.262105,2.766165,3.080013,5.000897,4.962812,5.793764,5.915547,8.543418,4.777121,4.825882,3.839235,4.151253,4.214548,4.11721,2.733739,3.920132,5.71506,5.46524,7.133124,0.5061497,4.724979,6.767573,43.56709,11.11566,5.617081,5.292677,4.355827,9.620431,3.945546,4.304157,5.036695,11.37514,11.36929,10.97036,8.824447,4.564764,9.649909,37.03232,16.09071,0,0,0,0
13,13.58968,14.00344,9.09566,30.45825,2.948062,2.910163,2.700286,2.873224,2.910591,2.682198,4.456477,4.009586,7.325527,4.307767,8.531597,4.597963,3.206141,5.33022,3.296853,3.560643,12.38184,2.736386,18.47584,4.149693,3.358792,7.226668,2.876126,7.26811,2.763869,13.76416,2.847163,2.820307,3.385329,5.183585,16.22578,6.810841,2.493188,2.563798,4.563427,4.611642,5.119011,5.448406,7.749065,4.354107,4.28355,3.725806,3.820174,3.899675,3.706601,2.473404,3.656939,5.395652,5.202103,6.619506,0.4095811,4.300358,6.291236,47.0905,13.35336,6.617536,6.015271,4.934835,9.18017,4.374398,4.201312,4.211173,11.8568,12.41008,11.97835,8.6605,4.682098,10.73555,41.71858,18.67239,0,0,0,0
14,13.16407,12.42722,7.949059,29.93087,2.872227,2.87187,2.661105,2.820867,2.873142,2.634053,4.408277,4.005066,7.322117,4.29809,8.429033,4.546755,3.125352,5.319504,3.191156,3.4615,13.67469,2.708909,20.36626,4.058442,3.544793,7.794973,2.843998,8.10734,2.76324,14.84978,2.843043,2.783831,3.167848,5.100756,17.5537,7.003901,2.508987,2.597431,4.646023,4.786265,5.168167,5.73297,7.66272,4.386448,4.310514,4.13335,4.202352,3.878317,4.043133,2.432424,3.96192,6.086118,5.97366,7.316504,0.3839043,4.284412,6.99865,61.04448,20.65496,10.13518,9.567259,7.770663,10.89809,5.83409,4.89524,4.461951,15.42254,17.35231,16.65038,9.885758,6.950735,14.80767,70.68563,25.45262,0,0,0,0
15,12.8129,11.15653,7.073945,29.65751,2.796015,2.838591,2.626444,2.768663,2.830816,2.584645,4.347731,3.966893,7.319752,4.286975,8.336058,4.48595,3.057376,5.282475,3.08603,3.391414,14.89197,2.698806,21.77668,4.032128,3.641032,8.25407,2.82437,8.789778,2.753388,15.94075,2.86934,2.76796,2.998758,4.991616,18.66125,7.170188,2.511542,2.620045,4.587574,4.806677,5.192341,5.82636,7.537308,4.38623,4.253948,4.318735,4.325977,3.908534,4.170213,2.417236,4.095972,6.242325,6.230618,7.550102,0.3627483,4.367914,7.302621,58.96965,21.64006,11.28854,10.85533,8.763272,11.44012,6.25196,5.196007,4.800468,17.05772,19.03572,18.4902,11.04923,7.708871,16.0213,74.6341,25.39968,0,0,0,0
16,12.93992,10.26254,6.688441,30.26111,2.828806,2.895493,2.633529,2.778075,2.839619,2.573199,4.453982,4.08114,7.362268,4.284939,8.34744,4.474555,3.025793,5.441048,3.071585,3.403223,16.13476,2.793095,22.98133,4.125158,3.978227,8.870018,2.885072,9.577656,2.841743,17.42773,3.050135,2.832149,2.939395,5.05994,20.07909,7.547758,2.613528,2.864584,4.807077,5.098045,5.498877,6.291194,7.620314,4.529506,4.411312,4.915159,4.881536,4.103176,4.704344,2.534241,4.556647,7.105337,7.204603,8.557773,0.3851285,4.850736,8.357386,66.78191,25.40413,14.3795,14.31332,11.52211,13.48139,7.703261,6.180392,5.806818,20.93257,23.25448,22.57163,13.18647,10.01475,19.2645,103.0922,28.26983,0,0,0,0
17,13.62626,9.833764,7.119941,31.85215,2.967704,3.051229,2.682415,2.849007,2.897912,2.597164,4.727509,4.333385,7.451738,4.29161,8.481806,4.508038,3.027898,5.808649,3.147298,3.511378,17.5052,3.00922,24.27552,4.371512,4.525108,9.655108,3.039019,10.43462,3.033635,19.29311,3.377557,2.988184,3.000119,5.301517,21.75734,8.129542,2.817113,3.388777,5.224982,5.593678,6.09394,7.069366,7.896178,4.806902,4.750319,5.861006,5.747419,4.483503,5.591333,2.798672,5.302104,8.481696,8.767757,10.2358,0.4955536,5.976461,10.0846,73.2247,29.28513,18.17206,18.84547,15.1886,16.69484,9.750489,7.839081,7.950085,25.92398,28.06954,27.5142,16.05015,13.45107,23.16847,141.4554,31.03318,0,0,0,0
18,14.27349,9.955898,8.657718,32.8779,3.105036,3.190612,2.735918,2.918436,2.940953,2.611174,4.958352,4.536947,7.547274,4.298253,8.640265,4.530741,3.047889,6.115255,3.260112,3.648371,18.34155,3.234272,24.92533,4.66161,4.847878,10.15989,3.182356,10.83087,3.182255,20.61132,3.645362,3.166112,3.10879,5.448824,22.52874,8.557632,2.96425,3.955117,5.477405,5.819004,6.464704,7.433659,8.099795,4.945273,4.973788,6.400659,6.228341,4.737738,6.106758,3.068617,5.714081,9.18627,9.527966,11.51381,0.7405679,7.675274,11.17211,61.03207,26.81225,17.79326,18.96863,15.16284,18.10688,10.17507,9.094594,10.99069,26.07154,26.64387,26.82417,17.54514,13.7663,22.50307,132.8651,27.95975,0,0,0,0
19,14.72195,10.4746,10.71302,33.08939,3.220263,3.280212,2.78197,2.974968,2.965681,2.617467,5.107185,4.675932,7.64613,4.304677,8.788451,4.544815,3.080417,6.321354,3.381714,3.77291,18.17716,3.410657,24.50323,4.901892,4.952779,10.32227,3.277365,10.72249,3.267926,21.13826,3.805262,3.331526,3.229805,5.500617,22.64373,8.785318,3.042886,4.433381,5.616603,5.847266,6.584064,7.452305,8.22464,4.952606,5.103117,6.594613,6.414863,4.827162,6.309297,3.279566,5.829203,9.427736,9.701779,12.38704,1.038913,9.409678,11.67988,47.37708,22.91235,15.77096,17.13052,13.40257,18.30443,9.718285,9.890043,13.93639,23.78834,23.2269,23.77458,17.6397,12.29229,19.95782,106.5848,24.15155,0,0,0,0
20,14.68153,10.79743,11.62272,32.26773,3.233916,3.26943,2.78796,2.97582,2.947326,2.597538,5.06472,4.648971,7.709075,4.304245,8.814866,4.521595,3.092493,6.287461,3.397166,3.808443,17.04458,3.445795,23.10472,4.993996,4.742257,10.04906,3.264235,10.12461,3.216967,20.67326,3.779941,3.400748,3.262435,5.378657,22.0635,8.665633,2.996379,4.460852,5.48189,5.592133,6.354824,7.071446,8.135363,4.791845,5.006639,6.254972,6.106269,4.716482,5.999354,3.29277,5.511178,8.868045,9.059563,12.05638,1.159511,9.931806,11.13506,37.61917,18.38376,12.7671,14.0607,10.67071,16.82508,8.426364,9.528896,14.56659,20.13055,19.00691,19.51958,16.37565,9.725019,16.36648,79.08755,20.21488,0,0,0,0
