"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FIB

timestep,value
332,0.1592236
333,0.09349643
334,0.02589062
335,-0.02187915
336,-0.04141108
337,-0.2442658
338,-0.2040396
339,-0.1384197
340,-0.06091083
341,0.01448628
342,0.07799431
343,0.1063209
344,0.101685
345,0.07296012
346,0.02911193
347,-0.01728611
348,-0.03280887
349,0.07309687
350,0.06619371
351,0.07182201
352,0.09424748
353,0.1244802
354,0.1405511
355,0.1368982
356,0.1127313
357,0.09216522
358,0.08510426
359,0.08102937
360,0.07762452
361,0.2695969
362,0.2810615
363,0.3019705
364,0.3337836
365,0.3749077
366,0.4166074
367,0.4413196
368,0.4382266
369,0.4000228
370,0.3380603
371,0.2666596
372,0.2100746
373,0.1618688
374,0.166056
375,0.2114861
376,0.2902791
377,0.3875293
378,0.4792606
379,0.5398651
380,0.5554998
381,0.5323585
382,0.4852672
383,0.4469032
384,0.4519967
385,0.4019573
386,0.4902442
387,0.5764308
388,0.6305819
389,0.638174
390,0.5868084
391,0.4906213
392,0.3643335
393,0.244553
394,0.1453591
395,0.06789199
396,0.04964906
397,0.02184155
398,0.0514538
399,0.09788384
400,0.171533
401,0.2670044
402,0.3648952
403,0.4301036
404,0.4399001
405,0.3821057
406,0.2862826
407,0.1968572
408,0.1501429
409,0.2056163
410,0.2087249
411,0.232531
412,0.2635795
413,0.2863202
414,0.290868
415,0.2664037
416,0.2228362
417,0.1799516
418,0.1323309
419,0.09126566
420,0.07111974
421,0.01707663
422,0.02788701
423,0.06636642
424,0.1249303
425,0.2041576
426,0.3057892
427,0.4042563
428,0.4589579
429,0.4394048
430,0.3563892
431,0.280888
432,0.2573991
433,0.3420402
434,0.4468971
435,0.5482879
436,0.6269729
437,0.6645889
438,0.6573806
439,0.6010085
440,0.5336825
441,0.4586284
442,0.358955
443,0.2886909
444,0.2996899
