"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
26,1,1,1,1,1,1,1,1,1,1,1,1,1.695919,1,1,1,2,1,1,1,0.9999719,1,0.8948996,1,1,1.694105,1,1.447268,1,1.51501,1,1,1,1,1.316743,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.06616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,1,1,1,1.791103,1,1,1,2,1,1,1,1.043963,1,0.9224065,1,1,1.76529,1,1.486587,1,1.557227,1,1,1,1,1.275135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.043311,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1,1,1,1.874811,1,1,1,2,1,1,1,1.069096,1,0.9280684,1,1,1.806402,1,1.487847,1,1.566307,1,1,1,1,1.229245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.003261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1,1,1,1.948626,1,1,1,2,1,1,1,1.086049,1,0.924181,1,1,1.838472,1,1.47761,1,1.558843,1,1,1,1,1.193928,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.008835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.090707,1,0.9105215,1,1,1.854244,1,1.458549,1,1.537548,1,1,1,1,1.16393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9956583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.089744,1,0.8947257,1,1,1.868553,1,1.44309,1,1.513079,1,1,1,1,1.146092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.097076,1,0.8886692,1,1,1.905077,1,1.447844,1,1.502975,1,1,1,1,1.153511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.090967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.118703,1,0.8967267,1,1,1.971281,1,1.475762,1,1.515786,1,1,1,1,1.189666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.225916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.16155,1,0.923235,1,1,2,1,1.531116,1,1.559567,1,1,1,1,1.260615,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.45045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.223995,1,0.9659737,1,1,2,1,1.606944,1,1.63397,1,1,1,1,1.363378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.699365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.269145,1,0.9966491,1,1,2,1,1.65552,1,1.701011,1,1,1,1,1.450509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.550689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
