"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Value

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1990,0,0,0,0,0,0,0,0,0.0004652207,0,0,3.644931E-05,0,0,0.0005220699,0,0,0.006851004,0,0,0,0,2.619604E-05,0,0.0003781731,0.0005578226,0,0,0,9.807252E-09,0,0,0.0009755909,0.002688333,4.118756E-09,0,0,0,0,0.001791749,0.01444228,0.02813996,0.0002763212,0.001885542,0.001486416,0.01410843,0.0338668,0.01153458,0.0004568611,0,0,0.002824426,3.741273E-05,0.000644338,0,0,0.007527867,0.001411338,0,0,0,0,9.92211E-06,0.04542325,0.001010935,0.000109603,0,0,0,0,0.02342127,0.05482538,0.001224158,1.205728E-05,0,0,0,0
1991,0,0,0,0,0,0,0,0,0.000513288,0,0,4.121115E-05,0,0,0.0005133353,0,0,0.007879801,0,0,0,0,1.959431E-05,0,0.000403902,0.0007124633,0,0,0,9.948187E-09,0,0,0.0006057914,0.00243365,4.385238E-09,0,0,0,0,0.002191952,0.01381502,0.03433615,0.0002343972,0.002728572,0.001838786,0.0189418,0.03847552,0.0151292,0.0005160938,0,0,0.004009068,4.951112E-05,0.0007150466,0,0,0.007849238,0.001148777,0,0,0,0,9.184673E-06,0.04354515,0.0009228915,0.0001544047,0,0,0,0,0.02452605,0.06765258,0.001572904,1.25511E-05,0,0,0,0
1992,0,0,0,0,0,0,0,0,0.0004895926,0,0,4.069246E-05,0,0,0.0005446631,0,0,0.007947289,0,0,0,0,1.563286E-05,0,0.0003725969,0.0007290596,0,0,0,9.714175E-09,0,0,0.0004975881,0.001993234,4.865286E-09,0,0,0,0,0.002272531,0.01365523,0.03433134,0.0002087659,0.002716855,0.001917003,0.01916582,0.03912899,0.02377229,0.0005292775,0,0,0.003903105,4.679625E-05,0.0008277633,0,0,0.008345545,0.001018021,0,0,0,0,8.133389E-06,0.04141747,0.0007850605,0.000167687,0,0,0,0,0.02215964,0.07162672,0.00126203,1.068653E-05,0,0,0,0
1993,0,0,0,0,0,0,0,0,0.0004830922,0,0,4.918077E-05,0,0,0.0003632377,0,0,0.008491489,0,0,0,0,1.783981E-05,0,0.0003981219,0.0007406286,0,0,0,8.456944E-09,0,0,0.0004450224,0.001704028,4.228733E-09,0,0,0,0,0.002369674,0.01386305,0.03397749,0.0002414116,0.002581433,0.00187418,0.019446,0.03852955,0.02442293,0.000548673,0,0,0.003764595,4.339925E-05,0.0004801635,0,0,0.006160863,0.001034443,0,0,0,0,8.933504E-06,0.04737718,0.000936277,0.000163657,0,0,0,0,0.01817773,0.07280367,0.001314805,1.060678E-05,0,0,0,0
1994,0,0,0,0,0,0,0,0,0.0004874745,0,0,5.214469E-05,0,0,0.0005783506,0,0,0.008788851,0,0,0,0,1.752114E-05,0,0.0004117721,0.0008194844,0,0,0,9.517627E-09,0,0,0.0003683947,0.001568181,5.117647E-09,0,0,0,0,0.002464428,0.01500755,0.03367389,0.0002594192,0.002570574,0.001945222,0.01968418,0.03782811,0.02274862,0.0005581459,0,0,0.003742391,4.1534E-05,0.0007136278,0,0,0.00783636,0.0009338238,0,0,0,0,9.43854E-06,0.04334031,0.001000829,0.0001412712,0,0,0,0,0.01305802,0.0618773,0.001535349,7.100206E-06,0,0,0,0
1995,0,0,0,0,0,0,0,0,0.0004752249,0,0,5.68453E-05,0,0,0.0005371292,0,0,0.008653085,0,0,0,0,1.545094E-05,0,0.0003833641,0.0008611857,0,0,0,9.818817E-09,0,0,0.0003501101,0.001412239,6.127536E-09,0,0,0,0,0.002558314,0.01422137,0.03589631,0.0002444077,0.002647397,0.00215429,0.01915161,0.03922177,0.03555683,0.0005046711,0,0,0.003730555,4.047402E-05,0.0005339455,0,0,0.005950158,0.001108308,0,0,0,0,8.797449E-06,0.03337005,0.0008789411,0.0001970891,0,0,0,0,0.01075944,0.05666687,0.001694117,4.671411E-06,0,0,0,0
1996,0,0,0,0,0,0,0,0,0.0004871446,0,0,5.657458E-05,0,0,0.0005450341,0,0,0.008145945,0,0,0,0,3.896588E-06,0,0.0004007141,0.0007662195,0,0,0,8.607405E-09,0,0,0.0002704849,0.001360804,5.963542E-09,0,0,0,0,0.002488523,0.01510194,0.03793098,0.0002774287,0.002675161,0.002141799,0.01761545,0.03966806,0.03294585,0.0003832042,0,0,0.003529467,3.523182E-05,0.0003395548,0,0,0.004171197,0.001261108,0,0,0,0,7.779036E-06,0.02544037,0.0008390521,0.000160194,0,0,0,0,0.007565131,0.0462914,0.0007638052,2.531077E-06,0,0,0,0
1997,0,0,0,0,0,0,0,0,0.0005079832,0,0,5.916715E-05,0,0,0.0006698067,0,0,0.008526257,0,0,0,0,1.93822E-06,0,0.0004063108,0.0008556838,0,0,0,9.01475E-09,0,0,0.0004428186,0.001608256,5.557748E-09,0,0,0,0,0.002589347,0.0146929,0.03876104,0.0002612037,0.002825202,0.002211338,0.01922551,0.04037572,0.03406427,0.0003447506,0,0,0.003799827,3.651598E-05,0.0002974602,0,0,0.003818222,0.0007835047,0,0,0,0,7.569959E-06,0.02887216,0.0008365907,0.0001701528,0,0,0,0,0.007740725,0.05314348,0.001527809,2.144923E-06,0,0,0,0
1998,0,0,0,0,0,0,0,0,0.000466948,0,0,5.336004E-05,0,0,0.0008802143,0,0,0.008076524,0,0,0,0,1.549654E-06,0,0.0003834626,0.0007862761,0,0,0,9.489055E-09,0,0,0.0004269539,0.001346751,5.579166E-09,0,0,0,0,0.002449432,0.01458906,0.03656333,0.0002530136,0.002572028,0.001984125,0.01764116,0.03907544,0.02274565,0.0003201205,0,0,0.003516436,3.246623E-05,0.0003200083,0,0,0.003876786,0.0009886248,0,0,0,0,7.536637E-06,0.0258913,0.0008244871,0.0002364875,0,0,0,0,0.008359319,0.05664889,0.001644292,2.291883E-06,0,0,0,0
1999,0,0,0,0,0,0,0,0,0.0004770708,0,0,5.661121E-05,0,0,0.001173329,0,0,0.008637548,0,0,0,0,2.386211E-06,0,0.0003806049,0.0008155112,0,0,0,9.950452E-09,0,0,0.000654847,0.001158456,6.576129E-09,0,0,0,0,0.002574538,0.01646654,0.03983379,0.0002774074,0.002548324,0.002266655,0.01720635,0.0407828,0.0254155,0.000297216,0,0,0.0034473,3.388711E-05,0.0003724139,0,0,0.004187647,0.001694603,0,0,0,0,7.596687E-06,0.03134123,0.0008630454,0.0002839457,0,0,0,0,0.008692163,0.05111474,0.001296984,2.299586E-06,0,0,0,0
