"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,ShannonDiversity

year,value
1980,1.830505
1981,1.782912
1982,1.795097
1983,1.893671
1984,1.876147
1985,1.852863
1986,1.815737
1987,1.817255
1988,1.911326
1989,1.854604
1990,1.798684
1991,1.842092
1992,1.756383
1993,1.803334
1994,1.811534
1995,1.810259
1996,1.767617
1997,1.848383
1998,1.826135
1999,1.905446
2000,1.785921
2001,1.80168
2002,1.836899
2003,1.807735
2004,1.818011
2005,1.906425
2006,1.804467
2007,1.867836
2008,1.911385
2009,1.864514
2010,1.935124
2011,1.977046
2012,1.978907
2013,2.017291
2014,1.918608
2015,1.948573
2016,2.019632
