"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,"Prey of Anchovy-silverside-killifish"

timestep\group,Anchovy-silverside-killifish,"Pink shrimp","Brown shrimp","White shrimp","Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus,
1,9.19656E-05,0.001324064,0.0001279861,0.0004679005,0.09487798,0.1097048,0.2071049,0.1281886,0.05195448,0.06064098,0.1608775,0.1297568
2,8.337911E-05,0.001241242,0.0001241691,0.000436876,0.08861465,0.09948657,0.2232532,0.119784,0.05675507,0.06179104,0.1712877,0.1279698
3,7.037016E-05,0.001102488,0.000116474,0.0003884142,0.07903706,0.08435663,0.2567053,0.1093435,0.06316251,0.05660453,0.1849169,0.1236224
4,6.907303E-05,0.001113648,0.0001205171,0.0003897363,0.08097262,0.08075195,0.2858919,0.1085569,0.0598728,0.05099314,0.1693564,0.1230681
5,7.39496E-05,0.001200015,0.0001299573,0.0004162366,0.08929235,0.08275013,0.2985424,0.1123354,0.05323233,0.04877666,0.1490114,0.1235737
6,8.702595E-05,0.001385289,0.0001455001,0.000474413,0.1054819,0.09237784,0.2872785,0.1206849,0.04544224,0.04654694,0.127115,0.1256188
7,0.000105162,0.001621769,0.000163257,0.0005497272,0.1259213,0.106546,0.2513486,0.1301068,0.04034583,0.04628396,0.1128374,0.1268526
8,0.0001196627,0.001789127,0.0001734309,0.0006038926,0.1412344,0.1180114,0.2033152,0.1347014,0.04019666,0.0525811,0.1139381,0.1274241
9,0.0001358678,0.001958052,0.0001806076,0.0006571888,0.1567359,0.1321295,0.1589942,0.1385827,0.03869298,0.0555264,0.1117871,0.1282715
10,0.0001503487,0.002085792,0.000183719,0.0006987462,0.1693434,0.1459647,0.1170407,0.141305,0.0376361,0.05861384,0.1117213,0.1285909
