"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7985498,1,0.6466029,1,1,1.121422,1,1.131404,1,0.6888955,1,1,1,1,0.7910196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.959094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1996,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1.177983,1,0.9284386,1,1,1.405116,1,1.554828,1,0.9189981,1,1,1,1,1.300393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.55395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1997,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9162807,1,0.7564483,1,1,1.422856,1,1.454353,1,0.8628218,1,1,1,1,0.9747583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.079565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1998,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.8258865,1,0.6204475,1,1,1.242649,1,1.297885,1,0.7574745,1,1,1,1,0.8455327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9570978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1999,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7198768,1,0.5736124,1,1,1.005281,1,1.152659,1,0.6441568,1,1,1,1,0.8444393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.237171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2000,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.8378648,1,0.6645949,1,1,1.260591,1,1.248414,1,0.7088985,1,1,1,1,1.539445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.153983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2001,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9486451,1,0.7231529,1,1,1.478416,1,1.566441,1,0.8925545,1,1,1,1,1.383368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.273219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2002,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7769147,1,0.5684012,1,1,1.372665,1,1.431485,1,0.8454916,1,1,1,1,1.178288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9485595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2003,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7436366,1,0.5280427,1,1,1.050159,1,1.212677,1,0.7107992,1,1,1,1,0.9771414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2004,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9836938,1,0.7555208,1,1,1.112111,1,1.462933,1,0.8489926,1,1,1,1,1.371446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.342674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
